data_time,eta_seconds,fast_rcnn/cls_accuracy,fast_rcnn/false_negative,fast_rcnn/fg_cls_accuracy,iteration,loss_box_reg,loss_cls,loss_mask,loss_rpn_cls,loss_rpn_loc,lr,mask_rcnn/accuracy,mask_rcnn/false_negative,mask_rcnn/false_positive,rank_data_time,roi_head/num_bg_samples,roi_head/num_fg_samples,rpn/num_neg_anchors,rpn/num_pos_anchors,time,total_loss,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,segm/AP,segm/AP50,segm/AP75,segm/APl,segm/APm,segm/APs
0.007368617000338418,216.3142685701814,0.69921875,0.7083333333333333,0.29166666666666663,19,0.23162057995796204,0.6392253637313843,0.6915883123874664,0.04909816198050976,0.008878804743289948,9.5155e-05,0.5047812984843061,1.0,0.0,0.007368617000338418,120.0,8.0,251.5,4.5,0.1758652590001475,1.5912783262319863,,,,,,,,,,,,
0.008623255499969673,214.9687821053476,0.9296875,1.0,0.0,39,0.2623045891523361,0.22051863372325897,0.6099976599216461,0.03743376210331917,0.008611354045569897,0.000195055,0.6589078215018065,1.0,0.0,0.008623255499969673,119.0,9.0,251.75,4.25,0.18044895399998495,1.1124264588579535,,,,,,,,,,,,
,,,,,24,,,,,,,,,,,,,,,,,3.093784683684795,27.7782661728992,0.0,3.1328303503427266,,,0.0,0.0,0.0,0.0,,
0.01206825450026372,213.57213338984366,0.919921875,1.0,0.0,59,0.31640246510505676,0.18730509281158447,0.5266099274158478,0.024332303553819656,0.008754018694162369,0.00025,0.6872587977498692,1.0,0.0,0.01206825450026372,117.75,10.25,251.5,4.5,0.19953348199987886,1.063323606736958,,,,,,,,,,,,
,,,,,49,,,,,,,,,,,,,,,,,4.2418670438472414,14.455445544554454,1.0608203677510608,4.2418670438472414,,,0.0,0.0,0.0,0.0,,
0.008784389500306133,212.59829682021973,0.92578125,0.94375,0.05625,79,0.3663860559463501,0.14740043878555298,0.3891982436180115,0.008920303545892239,0.00649746204726398,0.00025,0.8316309747583244,0.5856285017239165,0.014302886439881486,0.008784389500306133,116.5,11.5,251.5,4.5,0.18561289149965887,0.9213744382141158,,,,,,,,,,,,
,,,,,74,,,,,,,,,,,,,,,,,13.343429008651784,66.23120645397871,3.991336633663366,13.343429008651784,,,0.2700270027002701,0.6750675067506752,0.0,0.594059405940594,,
0.009184157499930734,212.20138445005432,0.935546875,0.5178571428571428,0.48214285714285715,99,0.37549924850463867,0.1376248523592949,0.2784973233938217,0.009929517284035683,0.005744738737121224,0.00025,0.8976094470046083,0.30081834855283895,0.03337321908949654,0.009184157499930734,115.25,12.75,251.75,4.25,0.19119351349945646,0.8195591943804175,14.793429342934289,44.45544554455444,7.2997299729973,14.793429342934289,,,10.867986798679869,34.884488448844884,4.9504950495049505,10.867986798679869,,
0.007993237499704264,208.62884843486427,0.947265625,0.2863636363636364,0.7136363636363636,119,0.4166682958602905,0.12059788405895233,0.2833748012781143,0.0048403681721538305,0.005796612938866019,0.00025,0.8921565320839875,0.24857286182059402,0.04260626537646932,0.007993237499704264,113.25,14.75,251.5,4.5,0.18602019749960164,0.8042482708115131,,,,,,,,,,,,
0.009609821499907412,206.5538416201298,0.953125,0.2583333333333333,0.7416666666666667,139,0.4036357253789902,0.11964010074734688,0.2007347196340561,0.002788857906125486,0.005620344774797559,0.00025,0.9186871596145789,0.21181238627835614,0.035625291583541066,0.009609821499907412,112.75,15.25,251.5,4.5,0.19470178500023394,0.7748353942006361,,,,,,,,,,,,
,,,,,124,,,,,,,,,,,,,,,,,12.09009058800617,55.44304430443043,1.3501350135013503,12.09009058800617,,,16.909935730415146,64.42244224422441,5.680041688379364,17.007050705070505,,
0.008473663499898976,204.34781376476622,0.953125,0.13804554079696396,0.861954459203036,159,0.43032748997211456,0.11976033449172974,0.2118273451924324,0.0017515555955469608,0.005424658767879009,0.00025,0.9070330215419501,0.19717580135433055,0.04024663444815445,0.008473663499898976,111.25,16.75,251.75,4.25,0.21645157099965218,0.7745172183495015,,,,,,,,,,,,
,,,,,149,,,,,,,,,,,,,,,,,24.61721768993876,76.94269426942697,7.814574560904365,24.61721768993876,,,25.05610561056106,67.39273927392739,8.03080308030803,25.05610561056106,,
0.009653778000483726,203.39466289985467,0.955078125,0.14109697933227344,0.8589030206677266,179,0.39216065406799316,0.10546262934803963,0.18944048881530762,0.0006742997502442449,0.004859974142163992,0.00025,0.9184915520262159,0.16240303238080556,0.03596848059022416,0.009653778000483726,110.0,18.0,251.5,4.5,0.1994239159994322,0.7022450632357504,,,,,,,,,,,,
,,,,,174,,,,,,,,,,,,,,,,,26.193838462793646,87.56875687568754,17.048020591532836,26.193838462793646,,,32.1542904290429,74.5049504950495,15.965346534653465,32.218096809680965,,
0.009374052500334074,200.71127527457975,0.951171875,0.11502966381015162,0.8849703361898484,199,0.342653289437294,0.10425465181469917,0.1730753779411316,0.0007613473571836948,0.004999974509701133,0.00025,0.9277293693640247,0.1590361515982751,0.034607580734491175,0.009374052500334074,109.0,19.0,251.5,4.5,0.1969964304998939,0.6725015666452236,33.591051210384194,94.59945994599462,14.356435643564355,33.591051210384194,,,37.075444386543914,66.50165016501649,28.71287128712871,37.09570957095709,,
0.009043718999691919,198.12291895521412,0.95703125,0.08114035087719298,0.9188596491228069,219,0.318111389875412,0.10168107226490974,0.18318481743335724,0.00044717213313560933,0.004433265188708901,0.00025,0.9207615738603134,0.1254126528676796,0.046537225777073754,0.009043718999691919,109.25,18.75,251.25,4.75,0.19817422799997075,0.5973463908012491,,,,,,,,,,,,
0.00962041299953853,195.40160636981,0.962890625,0.07712590639419908,0.922874093605801,239,0.27353763580322266,0.09390728548169136,0.164801687002182,0.0002840053348336369,0.004474295303225517,0.00025,0.9274969368610484,0.13886269145834212,0.04230166884105446,0.00962041299953853,109.0,19.0,251.5,4.5,0.19981925150023017,0.5248855731515505,,,,,,,,,,,,
,,,,,224,,,,,,,,,,,,,,,,,36.93564356435643,73.51485148514845,24.752475247524757,36.93564356435643,,,40.25917297612114,68.97689768976896,28.71287128712871,40.25917297612114,,
0.009822613499636645,191.89163960989845,0.96484375,0.06897463002114165,0.9310253699788583,259,0.24391566216945648,0.08493883535265923,0.1471426859498024,0.00025784724130062386,0.003893612651154399,0.00025,0.9358834880105888,0.09663855361742354,0.04682069191892198,0.009822613499636645,107.0,21.0,251.5,4.5,0.1964824895003403,0.5031549413765788,,,,,,,,,,,,
,,,,,249,,,,,,,,,,,,,,,,,52.907040704070404,85.14851485148513,49.88998899889989,52.907040704070404,,,34.9545542789573,64.19141914191418,28.71287128712871,34.9545542789573,,
0.008469198000057077,188.25112234033895,0.96484375,0.061553030303030304,0.9384469696969697,279,0.23570793867111206,0.08006326854228973,0.1324649453163147,0.0005017572548240423,0.004117672331631184,0.00025,0.9421737898057774,0.13356548931140322,0.028601761697600835,0.008469198000057077,107.25,20.75,251.5,4.5,0.195280230499975,0.4826354289689334,,,,,,,,,,,,
,,,,,274,,,,,,,,,,,,,,,,,46.991984912777,66.54879773691655,53.371051390853374,46.991984912777,,,38.55610561056106,64.19141914191418,28.71287128712871,38.63336333633364,,
0.008828070499930618,184.22657212538525,0.97265625,0.04825581395348837,0.9517441860465117,299,0.20996838808059692,0.07501451671123505,0.13645565509796143,0.00014036556967766955,0.003576579736545682,0.00025,0.9410915682062299,0.1042850282763503,0.03636876955192411,0.008828070499930618,108.25,19.75,251.5,4.5,0.19360807699968063,0.443300267419545,43.896293475501395,87.36989083523734,48.4006092916984,43.896293475501395,,,38.05610561056106,66.03960396039604,24.09240924092409,38.1023102310231,,
0.010129932000381814,180.64624063501924,0.970703125,0.027046783625730993,0.972953216374269,319,0.18741586059331894,0.07444216683506966,0.15256717056035995,0.0001139598862209823,0.0034696836955845356,0.00025,0.932828443877551,0.10589502268813662,0.04902395989217782,0.010129932000381814,106.75,21.25,251.5,4.5,0.2131599525000638,0.4275688426326951,,,,,,,,,,,,
0.00899382150009842,176.8209784249393,0.978515625,0.02564102564102564,0.9743589743589743,339,0.16941773146390915,0.06071682274341583,0.1320798173546791,0.00011552750947885215,0.0033064306480810046,0.00025,0.9436716964778189,0.11027703043370413,0.0364228255404726,0.00899382150009842,106.75,21.25,252.0,4.0,0.19469484799947168,0.3910645646355988,,,,,,,,,,,,
,,,,,324,,,,,,,,,,,,,,,,,54.022502250225024,67.9072907290729,57.98379837983797,54.022502250225024,,,37.68811881188119,57.67326732673267,28.71287128712871,39.66802562609202,,
0.008953845499490853,173.04585238026448,0.98046875,0.024404761904761905,0.9755952380952381,359,0.1639169454574585,0.057506127282977104,0.16619251668453217,0.00012411933857947588,0.0033784963889047503,0.00025,0.9294361325611326,0.10948072661278369,0.04787442551642858,0.008953845499490853,106.75,21.25,251.5,4.5,0.19858132399986062,0.37881185308560816,,,,,,,,,,,,
,,,,,349,,,,,,,,,,,,,,,,,52.04988575780655,65.2094440213252,65.2094440213252,52.04988575780655,,,35.04200969547504,56.15275813295615,21.782178217821784,37.557755775577554,,
0.009371340000143391,169.55109622524105,0.982421875,0.022727272727272728,0.9772727272727273,379,0.14402776211500168,0.05541786924004555,0.13458385318517685,0.00017305149958701804,0.0030107845086604357,0.00025,0.9429087706511176,0.1071693672781569,0.0365806206915074,0.009371340000143391,106.0,22.0,251.5,4.5,0.2111503525002263,0.3530587978711992,,,,,,,,,,,,
,,,,,374,,,,,,,,,,,,,,,,,46.8018516137328,75.1060820367751,48.9108910891089,46.8018516137328,,,29.096652522395093,55.16265912305517,21.782178217821784,32.59525952595259,,
0.008185755000340578,165.47718867493586,0.982421875,0.022222222222222223,0.9777777777777777,399,0.12879115715622902,0.054549986496567726,0.10936534404754639,0.000213922125112731,0.0030609056120738387,0.00025,0.9554858127461511,0.08935086467168804,0.03633326881743741,0.008185755000340578,106.75,21.25,251.5,4.5,0.19362312850034868,0.2968119549259427,54.27951256664129,67.98172124904798,57.01447067783702,54.27951256664129,,,32.18104667609618,60.70721357850072,20.396039603960396,35.78827113480579,,
0.011138464499708789,161.817412124974,0.982421875,0.021980676328502417,0.9780193236714976,419,0.12006805092096329,0.04947880655527115,0.12157025188207626,7.171346078393981e-05,0.002788040437735617,0.00025,0.9501479855508095,0.10221143093573723,0.03667186204239127,0.011138464499708789,105.25,22.75,251.5,4.5,0.2162058689996229,0.2958248937611643,,,,,,,,,,,,
0.00759571849994245,157.91819737497462,0.984375,0.0227390180878553,0.9772609819121447,439,0.10394235327839851,0.042974481359124184,0.13899210840463638,0.00012863818847108632,0.0026672794483602047,0.00025,0.9383635001619695,0.09326978714698697,0.04454500217409711,0.00759571849994245,106.5,21.5,251.5,4.5,0.19501177299980554,0.2800769040532032,,,,,,,,,,,,
,,,,,424,,,,,,,,,,,,,,,,,57.02970297029702,74.25742574257426,74.25742574257426,57.02970297029702,,,34.9042541616799,62.55032096616255,21.782178217821784,40.64356435643564,,
0.00807235549973484,153.98926322010539,0.984375,0.020673486786018755,0.9793265132139812,459,0.10934460535645485,0.04175405204296112,0.13590329140424728,8.97563950275071e-05,0.0028432682156562805,0.00025,0.9363998724489796,0.08556422920275268,0.04569406708138462,0.00807235549973484,108.25,19.75,251.5,4.5,0.19301081499997963,0.3011273175943643,,,,,,,,,,,,
,,,,,449,,,,,,,,,,,,,,,,,51.46911834040546,75.1060820367751,61.88118811881187,51.46911834040546,,,28.25118775613825,60.16030174446016,14.356435643564355,33.94059405940594,,
