epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,184.568,0.1082,0.3731,0.24683,0.71303,0,0.99418,0.28571,0.285,0.25286,0.99418,0.28571,0.285,0.23701,0.37215,1.84729,0.36546,0.78931,0,4.654e-05,4.654e-05,4.654e-05
29,195.01,0.10328,0.39215,0.23327,0.70118,0,0.99415,0.28571,0.285,0.25386,0.99415,0.28571,0.285,0.23876,0.36729,1.93087,0.34762,0.78419,0,4.456e-05,4.456e-05,4.456e-05
30,201.846,0.09476,0.35379,0.22639,0.71396,0,0.9942,0.28571,0.285,0.25786,0.9942,0.28571,0.285,0.247,0.36567,1.99543,0.34596,0.78006,0,4.258e-05,4.258e-05,4.258e-05
31,207.092,0.11103,0.36179,0.23941,0.72465,0,0.99409,0.28571,0.285,0.25786,0.99409,0.28571,0.285,0.243,0.36602,2.05979,0.34115,0.78185,0,4.06e-05,4.06e-05,4.06e-05
32,213.004,0.09736,0.35839,0.22429,0.7026,0,0.99409,0.28571,0.285,0.25786,0.99409,0.28571,0.285,0.243,0.36602,2.05979,0.34115,0.78185,0,3.862e-05,3.862e-05,3.862e-05
33,223.149,0.10275,0.38688,0.22427,0.72372,0,0.99412,0.28571,0.285,0.25786,0.99412,0.28571,0.285,0.243,0.37351,2.12434,0.33685,0.7874,0,3.664e-05,3.664e-05,3.664e-05
34,228.131,0.09183,0.30853,0.2133,0.70098,0,0.99408,0.28571,0.285,0.25786,0.99408,0.28571,0.285,0.243,0.37802,2.1905,0.33702,0.79322,0,3.466e-05,3.466e-05,3.466e-05
35,241.972,0.08977,0.28738,0.21437,0.70962,0,0.99402,0.28571,0.285,0.25786,0.99402,0.28571,0.285,0.243,0.38308,2.35057,0.32744,0.79378,0,3.268e-05,3.268e-05,3.268e-05
36,252.578,0.10101,0.32027,0.21392,0.71485,0,0.99402,0.28571,0.285,0.25786,0.99402,0.28571,0.285,0.247,0.37663,2.35461,0.31576,0.78734,0,3.07e-05,3.07e-05,3.07e-05
37,260.447,0.08012,0.31784,0.20159,0.69483,0,0.99411,0.28571,0.285,0.25587,0.99411,0.28571,0.285,0.24475,0.36479,2.33653,0.30592,0.78138,0,2.872e-05,2.872e-05,2.872e-05
38,265.241,0.08401,0.28479,0.19855,0.72383,0,0.99411,0.28571,0.285,0.25587,0.99411,0.28571,0.285,0.24475,0.36479,2.33653,0.30592,0.78138,0,2.674e-05,2.674e-05,2.674e-05
39,275.011,0.09156,0.28894,0.19685,0.71435,0,0.99401,0.28571,0.285,0.25587,0.99401,0.28571,0.285,0.24475,0.36213,2.39922,0.30265,0.78075,0,2.476e-05,2.476e-05,2.476e-05
40,281.105,0.08465,0.28288,0.19392,0.70731,0,0.99403,0.28571,0.285,0.25587,0.99403,0.28571,0.285,0.24662,0.35573,2.42506,0.29889,0.7798,0,2.278e-05,2.278e-05,2.278e-05
